Shift ID,Role,Month,Date,Day,Shift,Time_Input,Time,Rate,Tips,Total,Tip Rate,,,,,
42,Meeting,May,31-May,Tuesday,N/A,0.75,45,10.50,0.00,7.88, $-   ,,,,,
43,Barista,May,31-May,Tuesday,Open,6.4,384,10.50,59.94,127.14, $9.37 ,,,,,
44,Barista,May,27-May,Friday,Close,6.13,367.8,10.50,42.58,106.95, $6.95 ,,,,,
45,Barista,June,24-Jun,Friday,Open,6.17,370.2,11.00,57.66,125.53, $9.35 ,,,,,
46,Barista,June,21-Jun,Tuesday,Close,5.88,352.8,11.00,33.63,98.31, $5.72 ,,,,,
47,Meeting,June,21-Jun,Tuesday,N/A,1.05,63,11.00,0.00,11.55, $-   ,,,,,
48,Barista,June,19-Jun,Sunday,Close,5.98,358.8,11.00,44.61,110.39, $7.46 ,,,,,
49,Barista,June,17-Jun,Friday,Open,6.32,379.2,11.00,93.30,162.82, $14.76 ,,,,,
50,Barista,June,14-Jun,Tuesday,Close,6.13,367.8,11.00,34.32,101.75, $5.60 ,,,,,
51,Barista,June,12-Jun,Sunday,Close,6.23,373.8,11.00,44.89,113.42, $7.21 ,,,,,
52,Barista,July,8-Jul,Friday,Open,6.59,395.4,11.25,76.92,151.06, $11.67 ,,,,,
53,Barista,July,5-Jul,Tuesday,Close,6.26,375.6,11.25,33.65,104.08, $5.38 ,,,,,
54,Barista,July,4-Jul,Monday,Open,6.15,369,11.25,65.38,134.57, $10.63 ,,,,,
55,Barista,July,3-Jul,Sunday,Open,6.3,378,11.25,70.00,140.88, $11.11 ,,,,,
56,Barista,July,1-Jul,Friday,Open,6.19,371.4,11.25,74.65,144.29, $12.06 ,,,,,
57,Meeting,June,28-Jun,Tuesday,N/A,0.89,53.4,11.25,0.00,10.01, $-   ,,,,,
58,Barista,June,28-Jun,Tuesday,Close,6,360,11.25,28.09,95.59, $4.68 ,,,,,
59,Barista,June,26-Jun,Sunday,Open,6.25,375,11.25,74.29,144.60, $11.89 ,,,,,
60,Meeting,July,24-Jul,Sunday,N/A,0.55,33,11.25,0.00,6.19, $-   ,,,,,
61,Barista,July,24-Jul,Sunday,Open,6.43,385.8,11.25,71.20,143.54, $11.07 ,,,,,
62,Barista,July,22-Jul,Friday,Close,6.66,399.6,11.25,38.58,113.51, $5.79 ,,,,,
63,Barista,July,19-Jul,Tuesday,Open,6.23,373.8,11.25,50.00,120.09, $8.03 ,,,,,
64,Barista,July,15-Jul,Friday,Close,6.75,405,11.25,37.65,113.59, $5.58 ,,,,,
65,Barista,July,13-Jul,Wednesday,Open,6.05,363,11.25,57.03,125.09, $9.43 ,,,,,
66,Barista,July,12-Jul,Tuesday,Open,6.41,384.6,11.25,53.72,125.83, $8.38 ,,,,,
67,Meeting,August,9-Aug,Tuesday,N/A,1.03,61.8,11.25,0.00,11.59, $-   ,,,,,
68,Barista,August,9-Aug,Tuesday,Open,5.87,352.2,11.25,46.46,112.50, $7.91 ,,,,,
69,Barista,August,8-Aug,Monday,Open,6.03,361.8,11.25,58.36,126.20, $9.68 ,,,,,
70,Barista,August,4-Aug,Thursday,Close,6.2,372,11.25,34.40,104.15, $5.55 ,,,,,
71,Barista,August,1-Aug,Monday,Open,6.31,378.6,11.25,43.22,114.21, $6.85 ,,,,,
72,Barista,July,31-Jul,Sunday,Open,6.28,376.8,11.25,78.50,149.15, $12.50 ,,,,,
73,Barista,July,29-Jul,Friday,Close,7.13,427.8,11.25,39.62,119.83, $5.56 ,,,,,
74,Meeting,July,26-Jul,Tuesday,N/A,0.9,54,11.25,0.00,10.13, $-   ,,,,,
75,Barista,July,26-Jul,Tuesday,Open,6.45,387,11.25,44.24,116.80, $6.86 ,,,,,
76,Training,August,10-Aug,Wednesday,N/A,2.33,139.8,11.25,0.00,26.21, $-   ,,,,,
77,Barista,August,22-Aug,Monday,Open,6.59,395.4,11.25,41.03,115.17, $6.23 ,,,,,
78,Barista,August,21-Aug,Sunday,Close,7.14,428.4,11.25,60.02,140.35, $8.41 ,,,,,
79,Barista,August,20-Aug,Saturday,Close,6.32,379.2,11.25,45.87,116.97, $7.26 ,,,,,
80,Barista,August,19-Aug,Friday,Open,6.32,379.2,11.25,80.03,151.13, $12.66 ,,,,,
81,Barista,August,15-Aug,Monday,Open,6.34,380.4,11.25,59.82,131.15, $9.44 ,,,,,
82,Meeting,August,14-Aug,Sunday,N/A,0.67,40.2,11.25,0.00,7.54, $-   ,,,,,
83,Training,August,24-Aug,Wednesday,N/A,2.92,175.2,11.25,0.00,32.85, $-   ,,,,,
84,Barista,September,10-Sep,Saturday,Close,6.8,408,11.25,57.59,134.09, $8.47 ,,,,,
85,Barista,September,9-Sep,Friday,Open,6.06,363.6,11.25,61.07,129.25, $10.08 ,,,,,
86,Barista,September,5-Sep,Monday,Close,5.74,344.4,11.25,37.89,102.47, $6.60 ,,,,,
87,Barista,September,4-Sep,Sunday,Open,6.17,370.2,11.25,54.21,123.62, $8.79 ,,,,,
88,Barista,September,3-Sep,Saturday,Open,6.03,361.8,11.25,76.82,144.66, $12.74 ,,,,,
89,Barista,September,2-Sep,Friday,N/A,4.66,279.6,11.25,56.62,109.05, $12.15 ,,,,,
90,Barista,August,29-Aug,Monday,Close,4.73,283.8,11.25,23.06,76.27, $4.88 ,,,,,
91,Barista,August,28-Aug,Sunday,Close,6.02,361.2,11.25,48.50,116.23, $8.06 ,,,,,
92,Barista,August,27-Aug,Saturday,Close,6.12,367.2,11.25,56.02,124.87, $9.15 ,,,,,
93,Barista,August,26-Aug,Friday,Open,5.94,356.4,11.25,75.56,142.39, $12.72 ,,,,,
94,Training,September,2-Sep,Friday,N/A,1.5,90,11.25,0.00,16.88, $-   ,,,,,
95,Meeting,September,25-Sep,Sunday,N/A,0.42,25.2,11.25,0.00,4.73, $-   ,,,,,
96,Barista,September,25-Sep,Sunday,Mid,5.86,351.6,11.25,74.37,140.30, $12.69 ,,,,,
97,Barista,September,24-Sep,Saturday,Close,6.65,399,11.25,45.36,120.17, $6.82 ,,,,,
98,Barista,September,23-Sep,Friday,Close,6.19,371.4,11.25,51.00,120.64, $8.24 ,,,,,
99,Meeting,September,21-Sep,Wednesday,N/A,0.77,46.2,11.25,0.00,8.66, $-   ,,,,,
100,Barista,September,19-Sep,Monday,Open,6.14,368.4,11.25,49.33,118.41, $8.03 ,,,,,
101,Barista,September,18-Sep,Sunday,Mid,7.58,454.8,11.25,102.87,188.15, $13.57 ,,,,,
102,Barista,September,17-Sep,Saturday,Open,6.03,361.8,11.25,67.03,134.87, $11.12 ,,,,,
103,Barista,September,16-Sep,Friday,Open,5.92,355.2,11.25,46.17,112.77, $7.80 ,,,,,
104,Barista,September,12-Sep,Monday,Close,6.11,366.6,11.25,26.90,95.64, $4.40 ,,,,,
105,Barista,September,11-Sep,Sunday,Mid,6.06,363.6,11.25,49.33,117.51, $8.14 ,,,,,
106,Barista,October,10-Oct,Monday,Open,6.24,374.4,11.25,67.93,138.13, $10.89 ,,,,,
107,Barista,October,9-Oct,Sunday,Mid,6.04,362.4,11.25,71.95,139.90, $11.91 ,,,,,
108,Barista,October,8-Oct,Saturday,Mid,6.15,369,11.25,61.21,130.40, $9.95 ,,,,,
109,Barista,October,7-Oct,Friday,Close,6.43,385.8,11.25,38.36,110.70, $5.97 ,,,,,
110,Meeting,October,6-Oct,Thursday,N/A,0.67,40.2,11.25,0.00,7.54, $-   ,,,,,
111,Barista,October,3-Oct,Monday,Open,6.03,361.8,11.25,64.15,131.99, $10.64 ,,,,,
112,Barista,October,2-Oct,Sunday,Close,6.14,368.4,11.25,56.88,125.96, $9.26 ,,,,,
113,Barista,October,1-Oct,Saturday,Mid,6.41,384.6,11.25,94.40,166.51, $14.73 ,,,,,
114,Barista,September,30-Sep,Friday,Open,6.1,366,11.25,42.31,110.94, $6.94 ,,,,,
115,Barista,September,26-Sep,Monday,Open,6.10,366,11.25,59.09,127.72, $9.69 ,,,,,
116,Barista,October,24-Oct,Monday,Close,5.68,340.8,11.50,32.72,98.04, $5.76 ,,,,,
117,Barista,October,23-Oct,Sunday,Open,5.30,318,11.50,57.66,118.61, $10.88 ,,,,,
118,Meeting,October,19-Oct,Wednesday,N/A,1.23,73.8,11.50,0.00,14.15, $-   ,,,,,
119,Barista,October,17-Oct,Monday,Close,5.79,347.4,11.50,35.63,102.22, $6.15 ,,,,,
120,Barista,October,16-Oct,Sunday,Open,5.64,338.4,11.50,71.03,135.89, $12.59 ,,,,,
121,Barista,October,15-Oct,Saturday,Mid,5.97,358.2,11.50,61.32,129.98, $10.27 ,,,,,
122,Barista,October,14-Oct,Friday,Close,6.28,376.8,11.50,41.65,113.87, $6.63 ,,,,,
123,Meeting,October,14-Oct,Friday,N/A,0.51,30.6,11.50,0.00,5.87, $-   ,,,,,
124,Barista,November,7-Nov,Monday,Close,6.10,366,11.50,42.14,112.29, $6.91 ,,,,,
125,Barista,November,5-Nov,Saturday,Close,5.83,349.8,11.50,59.49,126.54, $10.20 ,,,,,
126,Barista,November,4-Nov,Friday,Open,6.15,369,11.50,70.66,141.39, $11.49 ,,,,,
127,Barista,October,31-Oct,Monday,Open,6.05,363,11.50,53.99,123.57, $8.92 ,,,,,
128,Barista,October,30-Oct,Sunday,Open,6.18,370.8,11.50,76.46,147.53, $12.37 ,,,,,
129,Barista,October,29-Oct,Saturday,Mid,6.14,368.4,11.50,66.70,137.31, $10.86 ,,,,,
130,Barista,October,28-Oct,Friday,Close,6.00,360,11.50,52.82,121.82, $8.80 ,,,,,
131,Barista,November,25-Nov,Friday,Mid,4.89,293.4,11.50,69.20,125.44, $14.15 ,,,,,
132,Barista,November,21-Nov,Monday,Close,6.29,377.4,11.50,44.17,116.51, $7.02 ,,,,,
133,Meeting,November,20-Nov,Sunday,N/A,0.47,28.2,11.50,0.00,5.41, $-   ,,,,,
134,Barista,November,20-Nov,Sunday,Open,6.48,388.8,11.50,85.64,160.16, $13.22 ,,,,,
135,Barista,November,19-Nov,Saturday,Mid,5.91,354.6,11.50,72.75,140.72, $12.31 ,,,,,
136,Barista,November,18-Nov,Friday,Close,6.52,391.2,11.50,53.16,128.14, $8.15 ,,,,,
137,Meeting,November,16-Nov,Wednesday,N/A,0.85,51,11.50,0.00,9.78, $-   ,,,,,
138,Barista,November,14-Nov,Monday,Close,5.99,359.4,11.50,42.21,111.10, $7.05 ,,,,,
139,Barista,November,13-Nov,Sunday,Open,6.01,360.6,11.50,76.73,145.85, $12.77 ,,,,,
140,Barista,November,12-Nov,Saturday,Mid,6.00,360,11.50,71.42,140.42, $11.90 ,,,,,
141,Barista,November,11-Nov,Friday,Close,6.63,397.8,11.50,54.30,130.55, $8.19 ,,,,,
142,Barista,December,9-Dec,Friday,Close,6.51,390.6,11.50,52.07,126.94, $8.00 ,,,,,
143,Barista,December,4-Dec,Sunday,Open,6.00,360,11.50,70.96,139.96, $11.83 ,,,,,
144,Barista,December,3-Dec,Saturday,Mid,5.99,359.4,11.50,71.54,140.43, $11.94 ,,,,,
145,Barista,December,2-Dec,Friday,Close,6.69,401.4,11.50,54.73,131.67, $8.18 ,,,,,
146,Barista,November,27-Nov,Sunday,Open,6.23,373.8,11.50,55.69,127.34, $8.94 ,,,,,
147,Barista,November,26-Nov,Saturday,Mid,6.08,364.8,11.50,61.39,131.31, $10.10 ,,,,,
148,Baker,December,10-Dec,Saturday,Baker,6.67,400.2,14.50,0.00,96.72, $-   ,,,,,
149,Baker,December,12-Dec,Monday,Baker,7.15,429,14.50,0.00,103.68, $-   ,,,,,
150,Baker,December,11-Dec,Sunday,Baker,7.02,421.2,14.50,0.00,101.79, $-   ,,,,,
151,Barista,December,12-Dec,Monday,Open,7.15,429,11.50,53.47,135.70, $7.48 ,,,,,
152,Barista,December,21-Dec,Wednesday,Open,6.31,378.6,11.50,83.74,156.31, $13.27 ,,,,,
153,Meeting,December,21-Dec,Wednesday,N/A,0.61,36.6,14.50,0.00,8.85, $-   ,,,,,
154,Production,December,14-Dec,Wednesday,N/A,3.74,224.4,14.50,0.00,54.23, $-   ,,,,,
155,Training,December,20-Dec,Tuesday,N/A,2.00,120,14.50,0.00,29.00, $-   ,,,,,
156,Barista,January,6-Jan,Friday,Close,6.34,380.4,11.50,57.69,130.60, $9.10 ,,,,,
157,Barista,January,7-Jan,Saturday,Mid,6.00,360,11.50,63.91,132.91, $10.65 ,,,,,
158,Barista,January,8-Jan,Sunday,Mid,6.29,377.4,11.50,82.43,154.77, $13.10 ,,,,,
159,Barista,January,9-Jan,Monday,Open,6.19,371.4,11.50,40.68,111.87, $6.57 ,,,,,
160,Barista,January,13-Jan,Friday,Close,6.27,376.2,11.50,60.48,132.59, $9.65 ,,,,,
161,Barista,January,14-Jan,Saturday,Mid,6.14,368.4,11.50,73.90,144.51, $12.04 ,,,,,
162,Barista,January,15-Jan,Sunday,Mid,6.19,371.4,11.50,67.90,139.09, $10.97 ,,,,,
163,Barista,January,16-Jan,Monday,Open,6.36,381.6,11.50,89.22,162.36, $14.03 ,,,,,
164,Meeting,January,20-Jan,Friday,N/A,0.54,32.4,14.50,0.00,7.83, $-   ,,,,,
165,Barista,January,20-Jan,Friday,Close,5.86,351.6,11.50,40.97,108.36, $6.99 ,,,,,
166,Barista,January,21-Jan,Saturday,Mid,5.44,326.4,11.50,82.76,145.32, $15.21 ,,,,,
167,Barista,January,22-Jan,Sunday,Open,6.05,363,11.50,57.70,127.28, $9.54 ,,,,,
168,Barista,January,23-Jan,Monday,Open,6.17,370.2,11.50,57.10,128.06, $9.25 ,,,,,
169,Barista,February,10-Feb,Friday,Close,6.50,390,11.50,51.54,126.29, $7.93 ,,,,,
170,Barista,February,6-Feb,Monday,Open,5.99,359.4,11.50,51.16,120.05, $8.54 ,,,,,
171,Barista,February,5-Feb,Sunday,Open,5.98,358.8,11.50,65.35,134.12, $10.93 ,,,,,
172,Barista,February,4-Feb,Saturday,Close,5.99,359.4,11.50,61.88,130.77, $10.33 ,,,,,
173,Barista,February,3-Feb,Friday,Close,6.38,382.8,11.50,45.26,118.63, $7.09 ,,,,,
174,Barista,January,30-Jan,Monday,Open,6.00,360,11.50,70.62,139.62, $11.77 ,,,,,
175,Barista,January,28-Jan,Saturday,Mid,5.90,354,11.50,73.96,141.81, $12.54 ,,,,,
176,Barista,January,27-Jan,Friday,Close,6.28,376.8,11.50,46.75,118.97, $7.44 ,,,,,
177,Training,February,1-Feb,Wednesday,N/A,1.50,90,14.50,0.00,21.75, $-   ,,,,,
178,Training,January,31-Jan,Tuesday,N/A,2.00,120,14.50,0.00,29.00, $-   ,,,,,
179,Production,February,7-Feb,Tuesday,N/A,3.92,235.2,14.50,0.00,56.84, $-   ,,,,,
180,Barista,February,25-Feb,Saturday,Mid,6.04,362.4,11.50,70.05,139.51, $11.60 ,,,,,
181,Barista,February,24-Feb,Friday,Close,6.45,387,11.50,48.13,122.31, $7.46 ,,,,,
182,Barista,February,20-Feb,Monday,Open,6.14,368.4,11.50,92.65,163.26, $15.09 ,,,,,
183,Barista,February,18-Feb,Saturday,Mid,9.06,543.6,11.50,107.74,211.93, $11.89 ,,,,,
184,Barista,February,17-Feb,Friday,Close,6.87,412.2,11.50,49.34,128.35, $7.18 ,,,,,
185,Meeting,February,15-Feb,Wednesday,N/A,1.07,64.2,11.50,0.00,12.31, $-   ,,,,,
186,Barista,February,13-Feb,Monday,Open,5.88,352.8,11.50,53.34,120.96, $9.07 ,,,,,
187,Barista,February,12-Feb,Sunday,Open,5.89,353.4,11.50,64.07,131.81, $10.88 ,,,,,
188,Barista,February,11-Feb,Saturday,Close,5.96,357.6,11.50,80.85,149.39, $13.57 ,,,,,
189,Production,February,14-Feb,Tuesday,N/A,4.11,246.6,14.50,0.00,59.60, $-   ,,,,,
190,Barista,March,10-Mar,Friday,Close,6.18,370.8,11.50,53.76,124.83, $8.70 ,,,,,
191,Meeting,March,8-Mar,Wednesday,N/A,1.02,61.2,14.50,0.00,14.79, $-   ,,,,,
192,Barista,March,6-Mar,Monday,Open,5.85,351,11.50,52.13,119.41, $8.91 ,,,,,
193,Barista,March,4-Mar,Saturday,Mid,6.23,373.8,11.50,70.27,141.92, $11.28 ,,,,,
194,Barista,March,3-Mar,Friday,Close,5.99,359.4,11.50,53.32,122.21, $8.90 ,,,,,
195,Meeting,February,27-Feb,Monday,N/A,1.11,66.6,14.50,0.00,16.10, $-   ,,,,,
196,Barista,February,27-Feb,Monday,Open,6.01,360.6,11.50,55.29,124.41, $9.20 ,,,,,
197,Barista,March,25-Mar,Saturday,Mid,6.04,362.4,12.00,72.35,144.83, $11.98 ,,,,,
198,Barista,March,24-Mar,Friday,Close,7.74,464.4,12.00,84.39,177.27, $10.90 ,,,,,
199,Barista,March,20-Mar,Monday,Open,6.27,376.2,11.50,65.32,137.43, $10.42 ,,,,,
200,Barista,March,18-Mar,Saturday,Close,5.92,355.2,11.50,56.73,124.81, $9.58 ,,,,,
201,Meeting,March,18-Mar,Saturday,N/A,0.63,37.8,14.50,0.00,9.14, $-   ,,,,,
202,Barista,March,17-Mar,Friday,Close,6.12,367.2,11.50,51.76,122.14, $8.46 ,,,,,
203,Barista,March,13-Mar,Monday,Open,5.90,354,11.50,50.09,117.94, $8.49 ,,,,,
204,Barista,March,12-Mar,Sunday,Open,6.12,367.2,11.50,82.30,152.68, $13.45 ,,,,,
205,Barista,March,11-Mar,Saturday,Mid,6.15,369,11.50,70.62,141.35, $11.48 ,,,,,
206,Barista,April,10-Apr,Monday,Open,6.02,361.2,12.00,56.32,128.56, $9.36 ,,,,,
207,Barista,April,8-Apr,Saturday,Open,6.10,366,12.00,81.33,154.53, $13.33 ,,,,,
208,Barista,April,3-Apr,Monday,Open,6.20,372,12.00,66.62,141.02, $10.75 ,,,,,
209,Barista,April,2-Apr,Sunday,Close,5.77,346.2,12.00,62.47,131.71, $10.83 ,,,,,
210,Barista,April,1-Apr,Saturday,Close,7.71,462.6,12.00,77.08,169.60, $10.00 ,,,,,
211,Barista,March,31-Mar,Friday,Close,6.12,367.2,12.00,51.10,124.54, $8.35 ,,,,,
212,Barista,March,27-Mar,Monday,Open,6.13,367.8,12.00,58.50,132.06, $9.54 ,,,,,
,Average, March ,   N/A   , Friday , Open ,5.30, $318.15 , $11.41 , $45.96 , $106.14 , $7.44 ,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Need to make a line graph for each day of the week and the amount of money I make (in tips),,,,,,,,,,,,,
